id;nom;description;position;etat;cree_le;cree_par;modifie_le;modifie_par
1;Jordanian Dinar Health;redundant optical green;86030;false;2020-05-02;64545;2020-05-02;65163
2;Credit Card Account Kip;Investment Account Investment Account;74794;true;2020-05-02;90296;2020-05-02;59379
3;District;dynamic Coordinator;47050;true;2020-05-02;85915;2020-05-02;80698
4;Dynamic Cambridgeshire;Investment Account;25438;false;2020-05-02;41873;2020-05-02;99147
5;gold transparent deposit;ADP Practical COM;33975;true;2020-05-02;22179;2020-05-02;71280
6;Synchronised;Savings Account;93928;false;2020-05-02;48624;2020-05-02;21186
7;AI SSL;Macedonia HTTP Handcrafted Steel Pants;52902;false;2020-05-03;74088;2020-05-02;65253
8;Strategist GB;exploit;84203;false;2020-05-02;56078;2020-05-02;81528
9;Home Loan Account;Swaziland Liaison Data;50403;false;2020-05-02;32967;2020-05-03;57395
10;payment mobile navigate;Sleek Soft Keyboard SSL Handmade Wooden Ball;64221;true;2020-05-02;60772;2020-05-02;59827
