id;gouvernorat;ville;localite;code_postal;modifie_le;modifie_par
1;granular Berkshire plum;e-markets Factors;Avon Consultant;51229;2020-05-02;54859
2;blue Concrete invoice;Kwanza;Virtual;99563;2020-05-02;72529
3;background;Bedfordshire National Executive;Borders THX neural;78238;2020-05-02;49457
4;cross-media User-friendly yellow;deposit withdrawal;Won Checking Account Operative;6966;2020-05-02;94060
5;intranet;Human cross-platform;XSS visualize;52195;2020-05-02;48279
6;capacitor redundant;driver Nebraska;Branding;35671;2020-05-02;62812
7;Wooden web services;systematic scalable Frozen;mission-critical;36376;2020-05-02;10020
8;Corner Director Pants;Tasty matrix;Branding Ball array;74264;2020-05-02;44859
9;back-end Kansas;Pants Multi-tiered optical;Shirt Central e-business;90301;2020-05-02;99189
10;Investment Account Web;Oval Trail Direct;Berkshire action-items;85689;2020-05-02;36293
