id;reference;date;statut;nature_piece;total_ht;total_tva;total_remise;tot_ttc;zone;date_livraison;cree_le;cree_par;modifie_le;modifie_par
1;"SsZT";2020-05-02;Annulee;Commande;67440;74057;70763;27297;Refined Czech Republic;2020-05-02;2020-05-02;81139;2020-05-02;26296
2;"b6ev45y0w3tl";2020-05-03;Preparation;Confcommande;66660;79062;64776;73469;mobile Tugrik;2020-05-02;2020-05-02;74730;2020-05-02;54556
3;"NfJZKHFAm";2020-05-02;Livraison;Livraison;53549;57695;92521;21980;override;2020-05-02;2020-05-02;59222;2020-05-03;43925
4;"hPFx";2020-05-02;Commande;Commande;86826;74327;44126;96963;convergence;2020-05-02;2020-05-02;80175;2020-05-02;56308
5;"tGtOb";2020-05-02;Preparation;Confcommande;2444;36353;12275;41583;quantify hacking Toys;2020-05-02;2020-05-02;82791;2020-05-02;97658
6;"d";2020-05-02;Annulee;Livraison;6327;77165;77607;15586;SMS Home Loan Account experiences;2020-05-02;2020-05-02;43227;2020-05-02;14864
7;"9egNF";2020-05-02;Commande;Confcommande;18691;51214;21243;94590;Bike Toys;2020-05-02;2020-05-02;54039;2020-05-02;95877
8;"LWuNiHUZ1";2020-05-02;Preparation;Livraison;97234;29262;35188;95586;Division real-time;2020-05-03;2020-05-02;99113;2020-05-02;50127
9;"";2020-05-02;Livree;Livraison;22500;64280;65749;64796;redefine Personal Loan Account Point;2020-05-02;2020-05-03;21652;2020-05-02;38104
10;"wGBCMqkQnGr0";2020-05-03;Livraison;Livraison;56714;97141;53462;33961;communities Jewelery;2020-05-02;2020-05-02;639;2020-05-02;34906
