id;quantite;prix_ht;tva;prix_ttc;cree_le;cree_par;modifie_le;modifie_par
1;33875;31762;38098;71214;2020-05-02;50941;2020-05-02;86943
2;16553;21072;23609;5170;2020-05-02;61222;2020-05-02;15339
3;56709;42436;90338;61375;2020-05-02;36521;2020-05-02;36364
4;45141;39454;99263;63815;2020-05-02;51562;2020-05-02;43301
5;12614;78384;75555;10442;2020-05-02;38707;2020-05-02;53006
6;76133;21438;23529;57287;2020-05-02;96313;2020-05-02;30058
7;42656;36690;38846;15841;2020-05-02;6152;2020-05-02;29418
8;9;88652;84762;25830;2020-05-03;59820;2020-05-02;65467
9;49804;56396;72468;72680;2020-05-02;71559;2020-05-02;97396
10;72007;37592;41705;15265;2020-05-02;38657;2020-05-03;97858
