id;type;image;image_content_type
1;SousCategorie;../fake-data/blob/hipster.png;image/png
2;Categorie;../fake-data/blob/hipster.png;image/png
3;Categorie;../fake-data/blob/hipster.png;image/png
4;Produit;../fake-data/blob/hipster.png;image/png
5;Categorie;../fake-data/blob/hipster.png;image/png
6;Categorie;../fake-data/blob/hipster.png;image/png
7;Categorie;../fake-data/blob/hipster.png;image/png
8;Categorie;../fake-data/blob/hipster.png;image/png
9;Produit;../fake-data/blob/hipster.png;image/png
10;Categorie;../fake-data/blob/hipster.png;image/png
