id;categorie_client;interval_valeur;frais;cree_le;cree_par;modifie_le;modifie_par
1;Gold;79169;34726;2020-05-02;19426;2020-05-02;10292
2;Platinium;11546;2715;2020-05-02;92423;2020-05-02;11340
3;Gold;15010;63522;2020-05-02;78639;2020-05-02;3617
4;Gold;81091;32857;2020-05-02;20418;2020-05-02;60732
5;Platinium;3421;74879;2020-05-02;86136;2020-05-03;82527
6;Platinium;89446;52320;2020-05-02;72791;2020-05-02;69100
7;Platinium;4552;98988;2020-05-02;69573;2020-05-02;40577
8;Platinium;33974;99878;2020-05-02;24595;2020-05-02;32601
9;Silver;82092;49769;2020-05-02;99459;2020-05-02;62184
10;Silver;8063;80866;2020-05-02;30661;2020-05-03;71478
