id;type;date;sens;quantite;cree_le;cree_par;modifie_le;modifie_par
1;Commande;2020-05-02;19567;52276;2020-05-02;28214;2020-05-02;35107
2;Commande;2020-05-02;58654;84462;2020-05-02;53915;2020-05-02;31444
3;Stock;2020-05-02;84801;19492;2020-05-02;91399;2020-05-02;48826
4;Commande;2020-05-02;21766;8531;2020-05-02;45636;2020-05-02;48227
5;Commande;2020-05-02;95604;9046;2020-05-02;74973;2020-05-02;88212
6;Commande;2020-05-02;24068;91284;2020-05-02;22293;2020-05-03;15636
7;Stock;2020-05-02;97104;80937;2020-05-02;29098;2020-05-03;25494
8;Stock;2020-05-03;73184;69919;2020-05-02;38228;2020-05-02;58159
9;Commande;2020-05-02;91962;40005;2020-05-02;15957;2020-05-02;43756
10;Commande;2020-05-02;82640;85812;2020-05-02;53442;2020-05-02;83188
