id;nom;code_barre;description;etat;unite;marque;nature;stock_minimum;quantite_vente_max;date_premption;prix_unitaire_ht;taux_tva;prix_ttc;source_produit;hors_stock;rating;remise;cree_le;cree_par;modifie_le;modifie_par
1;conglomeration Marketing solutions;70855;Union;false;deliverables;connecting;Accountability XSS Iowa;58092;48888;2020-05-03;4659;94621;44007;Externe;false;"1";39721;2020-05-02;37634;2020-05-02;75966
2;sexy Soap;63084;Accounts;false;Jewelery navigate;back up;Sleek Fresh Cheese Facilitator;64198;15745;2020-05-02;46806;42003;15744;Externe;true;"5";59106;2020-05-02;14524;2020-05-02;68305
3;array Beauty;75755;clear-thinking;false;bypass;Field;Corporate Implementation;56297;36527;2020-05-02;41215;87025;61022;Locale;false;"1";82032;2020-05-02;48148;2020-05-02;2434
4;mission-critical Avon back-end;15019;Frozen Chair;false;Intelligent;Steel instruction set;compress;11196;23246;2020-05-02;14898;35547;70899;Externe;true;"3";91014;2020-05-02;633;2020-05-02;14975
5;calculate;84742;niches Walk;false;Communications calculate;synthesize Boliviano Mvdol;invoice Nicaragua Keyboard;29554;67917;2020-05-02;22569;58333;85180;Externe;false;"1";86388;2020-05-02;13302;2020-05-02;34939
6;Licensed;14908;initiative;true;New Caledonia Fish;Borders;impactful;28626;14811;2020-05-02;40305;62523;3508;Externe;true;"4";92447;2020-05-02;35866;2020-05-02;44503
7;Shoes;31750;pixel innovative;false;Human;Accounts Trail rich;Garden;59641;29130;2020-05-02;52466;81219;73906;Externe;true;"3";83309;2020-05-02;37185;2020-05-02;89787
8;Zimbabwe Dollar;46652;actuating Research;true;New Jersey;Pennsylvania knowledge user Frozen;Home Loan Account;17054;88854;2020-05-02;99609;48454;89451;Locale;true;"3";63432;2020-05-03;81004;2020-05-02;76943
9;Metal;73498;copying system;false;Response application;Streamlined transmit;Consultant Investor Accountability;14488;65830;2020-05-02;93328;1957;50105;Externe;true;"5";81825;2020-05-02;35275;2020-05-02;19660
10;Mouse solution-oriented;9963;Health Executive;false;Wisconsin Product;Borders Equatorial Guinea Towels;Station;27637;53537;2020-05-02;8423;78166;17994;Locale;true;"2";29851;2020-05-02;2407;2020-05-02;17048
