id;categorie_client;prix_unitaire;remise_categorie;remise_promo;cumulable;debut_promo;fin_promo;cree_le;cree_par;modifie_le;modifie_par
1;Platinium;40889;35081;22420;false;2020-05-03;2020-05-02;2020-05-02;45810;2020-05-02;88299
2;Silver;6482;7629;93036;false;2020-05-02;2020-05-02;2020-05-02;27210;2020-05-02;1200
3;Gold;82001;90753;89714;true;2020-05-02;2020-05-02;2020-05-02;26949;2020-05-03;9953
4;Platinium;52794;97232;83020;true;2020-05-02;2020-05-02;2020-05-02;38550;2020-05-03;82652
5;Gold;31918;47607;49124;true;2020-05-02;2020-05-02;2020-05-02;41509;2020-05-02;83844
6;Platinium;71678;68869;95979;false;2020-05-02;2020-05-02;2020-05-02;50076;2020-05-02;94121
7;Gold;84251;70457;21991;false;2020-05-02;2020-05-02;2020-05-02;37401;2020-05-02;10099
8;Gold;52113;73835;542;true;2020-05-02;2020-05-03;2020-05-02;8347;2020-05-03;13370
9;Gold;75614;77591;54108;false;2020-05-02;2020-05-02;2020-05-02;62404;2020-05-02;66803
10;Silver;41015;40238;93993;true;2020-05-02;2020-05-02;2020-05-03;77347;2020-05-02;56312
