id;nom;description;position;etat;cree_le;cree_par;modifie_le;modifie_par
1;aggregate paradigms motivating;Fish Producer solutions;55826;false;2020-05-02;6805;2020-05-03;19442
2;interface;enable Associate Applications;86803;true;2020-05-02;33251;2020-05-02;66887
3;Fords;Auto Loan Account bypass;19354;false;2020-05-02;87469;2020-05-02;35082
4;Money Market Account didactic;Representative Rufiyaa back up;47651;true;2020-05-02;56320;2020-05-02;20552
5;Naira;East Caribbean Dollar Research;16127;true;2020-05-02;25100;2020-05-02;54929
6;multi-byte reciprocal Refined Granite Chips;Fundamental application;96883;true;2020-05-02;40734;2020-05-02;46673
7;National Gibraltar Pound Cape;bluetooth invoice;47663;true;2020-05-02;32544;2020-05-02;31969
8;connecting;neural Industrial;6923;true;2020-05-02;73370;2020-05-02;76261
9;Coordinator invoice;Fantastic Steel Soap;951;true;2020-05-02;28457;2020-05-02;27851
10;navigating collaboration;circuit convergence;36658;false;2020-05-02;80455;2020-05-02;39626
