id;stock_physique;stock_disponible;stock_reserve;stock_commande;derniere_entre;derniere_sortie;alerte_stock;cree_le;cree_par;modifie_le;modifie_par
1;40873;43417;67982;65899;2020-05-02;2020-05-02;true;2020-05-02;72964;2020-05-02;59182
2;51472;98154;77507;46066;2020-05-02;2020-05-02;true;2020-05-02;75219;2020-05-02;62067
3;69907;55276;14444;85811;2020-05-02;2020-05-02;true;2020-05-02;48251;2020-05-02;31987
4;58011;21553;13110;43284;2020-05-02;2020-05-02;false;2020-05-02;85045;2020-05-02;70166
5;76626;47684;54096;57789;2020-05-03;2020-05-02;true;2020-05-02;38304;2020-05-02;86720
6;35847;58869;49111;35272;2020-05-02;2020-05-02;false;2020-05-02;64977;2020-05-02;63878
7;43508;25527;58302;66097;2020-05-02;2020-05-03;false;2020-05-02;49729;2020-05-02;29891
8;84591;25109;94387;91486;2020-05-03;2020-05-02;true;2020-05-02;98526;2020-05-02;4244
9;73599;66691;17638;31729;2020-05-02;2020-05-02;false;2020-05-02;2957;2020-05-02;37216
10;63682;93647;36886;86100;2020-05-02;2020-05-02;true;2020-05-02;45097;2020-05-02;51291
