id;nom;cree_le;cree_par;modifie_le;modifie_par
1;connecting;2020-05-02;36187;2020-05-02;19349
2;Central;2020-05-02;57135;2020-05-02;92281
3;Nepalese Rupee;2020-05-02;17018;2020-05-03;41307
4;disintermediate;2020-05-02;2879;2020-05-02;92838
5;Avon;2020-05-02;42514;2020-05-02;70760
6;Mouse;2020-05-02;64966;2020-05-02;38014
7;knowledge base;2020-05-02;68861;2020-05-02;56961
8;help-desk;2020-05-02;81161;2020-05-02;54140
9;navigating Fort Dynamic;2020-05-02;54167;2020-05-02;26435
10;Integration data-warehouse SQL;2020-05-02;14767;2020-05-02;56966
